title,category,Script,completed
What is a computer? (Basic explanation),Computer Basics & IT Concepts,"🗣️ ""Have you ever wondered how this tiny device in your hand or the big machine on your desk actually works? Well, let's break it down!""

A computer is an electronic device that processes data and performs tasks based on a set of instructions. It follows a simple cycle:
✅ Input (You press a key or click a button)
✅ Processing (The CPU calculates and decides what to do)
✅ Output (You see the result on the screen)

The first fully functional computer, called ENIAC, was built in 1945, and it weighed over 27 tons—basically the size of a room! Today, your smartphone is millions of times more powerful than those early machines.

Computers are now everywhere—running cars, controlling satellites, and even diagnosing diseases! So next time you use one, just remember… it’s more than just a screen and keyboard—it’s a powerful brain that never sleeps! 💻🚀",
Server Request Response,Computer Basics & IT Concepts,,TRUE
"What is called server, client, browser",Computer Basics & IT Concepts,,TRUE
What is software vs. hardware?,Computer Basics & IT Concepts,"🗣️ ""Have you ever wondered what actually makes a computer work? It's a mix of two things—hardware and software! Let me explain in the simplest way possible.""

🖥️ Hardware is everything you can physically touch—the keyboard, mouse, CPU, RAM, and even your screen. Think of it like the body of a car.
💾 Software is the set of instructions that tell the hardware what to do—like the apps you use, from Chrome to Photoshop. This is like the driver of the car.

Without hardware, software can’t run. And without software, hardware is just a useless box of circuits. That’s why they must work together!

By 2030, the global software industry is expected to hit $1 trillion, and without software, we wouldn't have things like AI, mobile apps, or even this video you’re watching right now! Crazy, right? 🚀",
"What is an operating system? (Windows, macOS, Linux)",Computer Basics & IT Concepts,"🗣️ ""Windows, macOS, Linux—why do we even need an operating system, and which one is best? Let’s break it down!""

An Operating System (OS) is what makes a computer usable. It manages the hardware, runs software, and controls everything from your files to the internet connection.

Windows is the most popular, with over 70% of the market share. It’s great for gaming and business.
macOS is sleek and optimized for Apple devices, used by about 15% of users, mostly professionals and creatives.
Linux is the king of servers, running 90% of cloud infrastructure, and it’s completely free and open-source!
Without an OS, your computer wouldn’t even boot up! So next time your PC lags, don’t just blame the hardware—your OS plays a huge role too! Which one do you prefer? Let me know in the comments! ⬇️",
What is RAM and why is it important?,Computer Basics & IT Concepts,"🗣️ ""Ever opened too many tabs and suddenly your computer slows down? That’s your RAM screaming for help! But what exactly is RAM?""

RAM stands for Random Access Memory—it’s your computer’s short-term memory. The more RAM you have, the more tasks your system can handle at once.

🔹 8GB RAM – Great for basic tasks like browsing and watching YouTube.
🔹 16GB RAM – Ideal for gaming, video editing, and multitasking.
🔹 32GB+ RAM – Required for heavy programming, 3D rendering, and professional tasks.

A fun fact—modern RAM modules are over 100,000 times faster than hard drives, which is why more RAM = faster performance!

So, if your PC slows down, before blaming your processor, check your RAM! If it’s not enough, an upgrade might just save your system! 🚀💾",
What is a CPU? (How it works),Computer Basics & IT Concepts,,
What is a hard drive vs. SSD? (Storage types explained),Computer Basics & IT Concepts,,
What is an IP address? (Simple explanation),Computer Basics & IT Concepts,,
What is a computer virus? (How to stay safe),Computer Basics & IT Concepts,,
What is cloud computing? (Basic overview),Computer Basics & IT Concepts,,
What is a server? (Basic explanation),Computer Basics & IT Concepts,,
What is a website? (Basic explanation),Web Development Basics,,
What is HTML? (Why it’s essential),Web Development Basics,,
What is CSS? (How it styles websites),Web Development Basics,,
What is JavaScript? (Why it’s important),Web Development Basics,,
Will Web Design be taken over by AI,Web Development Basics,,TRUE
Difference between Bootstrap and Tailwind CSS,Web Development Basics,,TRUE
Don't make these 5 mistakes when building a website,Web Development Basics,,TRUE
HTML vs. CSS vs. JavaScript - What’s the difference?,Web Development Basics,,
What is a domain name? (How it works),Web Development Basics,,
What is web hosting? (Basic explanation),Web Development Basics,,
"What is a CMS? (WordPress, Shopify, etc.)",Web Development Basics,,
What is a landing page? (Why it’s important),Web Development Basics,,
What is responsive web design?,Web Development Basics,,
What is programming? (Simple explanation),Programming Fundamentals,,
What is a programming language? (Basic overview),Programming Fundamentals,,
Importance of jQuery in 2025,Programming Fundamentals,,TRUE
What is Python? (Why beginners love it),Programming Fundamentals,,
What is PHP? (How it powers websites),Programming Fundamentals,,
What is JavaScript used for? (Examples),Programming Fundamentals,,
What is React.js? (Why developers use it),Programming Fundamentals,,
What is Node.js? (Backend JavaScript explained),Programming Fundamentals,,
What is a function in programming?,Programming Fundamentals,,
What is a variable in coding?,Programming Fundamentals,,
What is a loop in programming?,Programming Fundamentals,,
What is Python? (Why it’s popular),Python Basics,,
What is a Python function? (Basic explanation),Python Basics,,
What is a Python list? (How it works),Python Basics,,
What is a Python dictionary? (Simple example),Python Basics,,
What are Python libraries? (Best ones to know),Python Basics,,
How Python is used in data science,Python Basics,,
What is Django? (How it helps in web development),Python Basics,,
What is Flask? (Python for web apps),Python Basics,,
Python vs. JavaScript - Which one should you learn?,Python Basics,,
What is an API in Python? (Basic explanation),Python Basics,,
What is JavaScript? (Why it’s essential),JavaScript Basics,,
What is an event in JavaScript? (Simple example),JavaScript Basics,,
What is an array in JavaScript? (How it works),JavaScript Basics,,
What is the DOM? (Why it matters),JavaScript Basics,,
How JavaScript makes websites interactive,JavaScript Basics,,
What is AJAX? (Why it’s used),JavaScript Basics,,
What is JSON? (Why it’s important),JavaScript Basics,,
What is an API in JavaScript?,JavaScript Basics,,
JavaScript vs. Python - Which one is better?,JavaScript Basics,,
"What is a JavaScript framework? (React, Angular, Vue)",JavaScript Basics,,
What is UI design? (Why it’s important),Web Design & UI/UX Basics,,
What is UX design? (How it improves websites),Web Design & UI/UX Basics,,
UI vs. UX - What’s the difference?,Web Design & UI/UX Basics,,
What are wireframes? (How they help in design),Web Design & UI/UX Basics,,
Why typography is important in web design,Web Design & UI/UX Basics,,
Importance of fonts in website design,Web Design & UI/UX Basics,,TRUE
